code,name,year,t1,t2,t3
HDAT9000,Clinical AI,2025,0,1,0
HDAT9100,Context for Health Data Science,2025,1,0,0
HDAT9200,Statistical Foundations for Health Data Science,2025,1,0,1
HDAT9300,Computing for Health Data Science,2025,1,0,1
HDAT9400,Data Management & Curation,2025,0,2,1
HDAT9500,Machine Learning I,2025,1,1,0
HDAT9510,Machine Learning II ,2025,0,0,1
HDAT9600,Statistical Modelling I ,2025,2,1,0
HDAT9700,Statistical Modelling II,2025,0,2,1
HDAT9800,Visualisation & Communication,2025,0,1,0
HDAT9900,Dissertation,2025,3,3,3
HDAT9910,Capstone,2025,3,3,3
